i'm just curious	je suis juste curieuse
that really made sense	cela fait vraiment sens
she is likely to come	elle a l'air de venir
you're quiet	tu es tranquille
she glanced through the magazine	elle parcourut le magazine
let me talk	laissez moi parler
i love talking to you	j'adore m'entretenir avec vous
give us a minute	accorde nous une minute !
i like the cold	j'aime le froid
tell me what to think	dites moi que penser !
i leave this afternoon	je pars cet apres midi
you need to grow up	il vous faut grandir
she loved her mother dearly	elle aimait sa mere tendrement
the old system works	l'ancien systeme fonctionne
i know who did it	je sais qui l'a fait
look at tom's shoes	regarde les chaussures de tom
do it by yourself	fais le toi meme !
the bird flapped its wings	l'oiseau battit des ailes
tom doesn't know	tom ne sait pas
you seem depressed	tu as l'air deprime
i will come with you	je vais vous accompagner
give me your money	donne moi ton argent
remember it	souviens en toi
i remember this	je m'en souviens
who did you see ?	qui avez vous vu ?
report to the emergency room	rapporte a la salle d'urgence
tom let us go	tom nous a laisse partir
tom didn't do anything else	tom ne fit rien d'autre
now eat your supper	maintenant mange ton souper
i didn't say it	je ne l'ai pas dit
yesterday was sunday	hier c'etait dimanche
i know your problem	je connais votre probleme
she had an unfriendly attitude	elle avait une attitude hostile
have a good christmas	passez un joyeux noel !
i need another one	il m'en faut un autre
don't be so childish	ne soyez pas si pueriles
i find you attractive	je vous trouve attirant
it might rain tomorrow	il pourrait pleuvoir demain
i get up at six	je me leve a heures
bring them to me	apporte les moi
i saw you there	je t'y ai vue
you don't seem convinced	tu n'as pas l'air convaincue
which hat is yours ?	lequel est ton chapeau ?
it's shockingly inexpensive	c'est scandaleusement bon marche
thanks for stopping by	merci d'etre passe
you missed the meeting	tu as rate la reunion
i'm through	j'en ai fini
i like your earrings	j'aime tes boucles d'oreilles
i wasn't competitive enough	je n'etais pas suffisamment competitif
i like that answer	j'aime cette reponse
tom opened a window	tom ouvrait une fenetre
don't be alarmed	ne soyez pas alarmees
they love their children	ils adorent leurs enfants
you're too trusting	tu es trop confiant
keep me in the loop	fais moi circuler l'information
i'm afraid of the dark	j'ai peur du noir
this is a big deal	c'est important
last night i threw up	la nuit derniere j'ai vomi
are you ready ?	etes vous pret ?
go jump in the lake	va te noyer !
i saw you	je t'ai vue
all the audience was excited	toute l'assistance etait excitee
i'm grounded	je suis cloue
tom hesitated	tom a hesite
the plan has failed	le plan a echoue
is he breathing ?	respire t il ?
don't look at me !	ne me regardez pas !
tom was sure of himself	tom etait sur de lui
is this your bike ?	est ce votre velo ?
it seems very interesting	ca a l'air tres interessant
did you say ?	as tu dit trente ?
let's begin on page	commencons en page trente
that would be wrong	ce serait une erreur
that is your book	c'est ton livre
you're crafty	vous etes rusee
your cat is overweight	ton chat est en surpoids
it's already dark outside	il fait deja sombre dehors
we're not watching	nous ne regardons pas
that's ugly	c'est laid
japan is weird	le japon est bizarre
i'm sure he would approve	je suis certain qu'il approuverait
i got upset	je me suis fachee
someday we'll know	un jour nous saurons
i eat there every night	j'y mange tous les soirs
i need friends	j'ai besoin d'amis
they all killed themselves	ils se sont tous tues
let me go	laissez moi m'en aller !
you run very fast	tu cours tres rapidement
i could do nothing	je ne pourrais rien faire
take his car keys	prends ses cles de voiture
i've heard rumors	j'ai entendu des rumeurs
this is a book	c'est un livre
mary is helping her mother	marie aide sa mere
i can do it now	je peux le faire maintenant
we declared war	nous avons declare la guerre
too late	trop tard
we're hiding	nous nous cachons
you're funny	vous etes marrants
i can squeeze you in	je peux t'inserer
i'll call tom tomorrow	j'appellerai tom demain
it is a payday today	aujourd'hui c'est jour de paie
you will listen	tu vas ecouter
i'll take those	je prendrai ceux la
they camped on the beach	ils camperent sur la plage
he disregarded my advice	il a ignore mes conseils
it's one of mine	c'est l'une des miennes
she is good natured	elle a une bonne nature
this is taking forever	ca prend une eternite
you're extroverted	vous etes extravertis
the milk turned sour	le lait a tourne
what if he's wrong ?	et s'il a tort ?
he asked me for help	il m'a demande de l'aide
tom became extremely weak	tom est devenu tres faible
back off	reculez
we'll survive	nous survivrons
let me try again	laissez moi reessayer !
let's split	separons nous !
the girls fainted	les filles se sont evanouies
i have hay fever	j'ai le rhume des foins
i'll watch television	je vais regarder la tele
i waited a while	j'ai attendu un moment
are you busy ?	etes vous occupes ?
i had fun here	je me suis amuse ici
i'm dreading the exam	je crains l'examen
you would be safe there	vous y seriez en securite
look at the blackboard everyone	veuillez regarder le tableau tous
i'm not presentable	je ne suis pas presentable
there's a catch	il y a un piege
are you eating lunch ?	tu dejeunes ?
both are alive	elles sont toutes deux vivantes
you disgust me	tu me degoutes
our sales are decreasing	nos ventes decroissent
he is outgoing	il est extraverti
should i be worried ?	devrais je etre preoccupe ?
i was overwhelmed	j'etais bouleversee
i'm not going to disappear	je ne vais pas disparaitre
you are late	vous etes en retard
are you insane ?	tu es folle ?
we saw them leave	nous les avons vues partir
she moved my clothes	elle deplaca mes vetements
this should be plenty	ca devrait etre amplement suffisant
you're totally right	vous avez parfaitement raison
i envy you so much	je vous envie beaucoup
a cat has two ears	un chat a deux oreilles
be a good girl	soyez une chic fille !
they unwrapped their sandwiches	ils ont deballe leurs sandwichs
i'm not convinced of that	je n'en suis pas convaincu
tom died last year	tom est mort l'annee derniere
go to your respective seats	allez a vos places respectives
i have an old car	ma voiture est vieille
i've made a decision	je me suis decide
we were all shocked	nous avons tous ete choques
i left school early	j'ai quitte tot l'ecole
we know all this	on sait tout ca
she trusted you	elle avait confiance en vous
where were you born ?	ou etes vous nes ?
go get changed	allez vous changer !
i rang the bell	je fis sonner la cloche
i was searching for food	je cherchais de la nourriture
is that likely ?	est ce probable ?
we have no other choice	nous n'avons pas d'autre choix
she is no ordinary singer	c'est une chanteuse pas banale
she heard him cry	elle l'entendit pleurer
i liked your friends	j'ai apprecie vos amies
it's dark in here	il fait noir la dedans
you look smart	tu as l'air intelligente
i walked here	j'ai marche jusqu'ici
he is very honest	il est tres honnete
don't be upset	ne soyez pas fache !
he has no bicycle	il n'a pas de bicyclette
you're looking very well	vous avez l'air tres bien
i agreed with her	je fus d'accord avec elle
he drove to school	il a conduit jusqu'a l'ecole
don't try this at home	n'essaie pas ca chez toi
have you confirmed it ?	l'as tu confirme ?
be cool	sois detendu !
simplicity is a virtue	la simplicite est une vertu
don't stay here	ne reste pas ici !
you're resilient	vous etes tenaces
tom climbed down the ladder	tom est descendu de l'echelle
the check please	la note s'il vous plait
exercise outdoors	faites de l'exercice a l'exterieur
this is my final offer	c'est ma derniere offre
i wanted to tell you	je voulais te le dire
there's nothing there	il n'y a rien la
you're full of surprises	vous etes pleine de surprises
could we sit ?	pourrions nous nous asseoir ?
she will get well soon	elle ira bientot mieux
are they really friends ?	sont ils vraiment amis ?
i do not like music	je n'aime pas la musique
iceland belonged to denmark	l'islande a appartenu au danemark
the tubes are clogged	les tubes sont bouches
it's no problem	sans probleme !
don't laugh	ne riez pas
children grow up so quickly	les enfants grandissent si vite
i love this photo	j'adore cette photo
that's plenty for today	c'est beaucoup pour aujourd'hui
i think that's enough	je pense que c'est assez
i had a terrible experience	j'ai traverse une epreuve terrible
she listens to him	elle l'ecoute
she is dieting	elle est au regime
ai stands for artificial intelligence	ia signifie intelligence artificielle
fill out this form please	veuillez remplir ce formulaire
he hoped to succeed	il esperait reussir
she is good at swimming	elle est bonne en natation
he was very patient	il etait tres patient
he banged his knee	il s'est cogne au genou
you're too tense	vous etes trop tendus
you didn't miss a thing	tu n'as rien manque
i'm a light sleeper	je dors peu
i think you're nuts	je pense que t'es barre
i am not getting involved	je ne m'implique pas
tom should've invited mary	tom aurait du inviter mary
please contact me by letter	veuillez me contacter par lettre
nothing's working	rien ne marche
is this your bike ?	est ce ton velo ?
you can fix all this	tu peux corriger tout ceci
we'll work	nous travaillerons
tom thinks you're lying	tom pense que tu mens
it was so dark	il faisait si sombre
it's outdated	c'est vieillot
he refused to pay	il se refusa a payer
we'll be working	nous travaillerons
give this book to ramu	donne ce livre a ramu
she plays bach	elle joue du bach
you're very wise	tu es tres avise
you're stupid	tu es idiote
let's hope she comes	pourvu qu'elle vienne
ai means artificial intelligence	ia signifie intelligence artificielle
well are you coming ?	eh bien vous venez ?
tell me where you've been	dites moi ou vous etiez
i ordered two hamburgers	j'ai commande deux hamburgers
he's coming closer	il se rapproche
are you home ?	es tu chez toi ?
i like you	vous me plaisez
we want to talk	nous voulons discuter
nothing is achieved without effort	rien n'est accompli sans effort
that's good to hear	c'est bon a entendre
he laughed nervously	il a ri nerveusement
you're so mean	vous etes si mechant
you're the teacher	vous etes la professeur
we're just lucky	nous sommes juste chanceux
this river is beautiful	cette riviere est belle
someone opened the window	quelqu'un a ouvert la fenetre
he seemed to like that	il semblait l'apprecier
i'm the teacher	je suis le professeur
i felt fear	j'ai ressenti de la peur
she is used to traveling	elle a l'habitude de voyager
he broke them	il les a casses
you are so childish sometimes	vous etes parfois si puerile
no one's gambling	personne ne parie
they didn't see anything	elles n'ont rien vu
they're all guilty	ils sont tous coupables
time for dinner	c'est l'heure du diner
i reviewed the file	j'ai examine le fichier
tom changed jobs	tom a change de boulot
i think he likes you	je pense qu'il vous apprecie
you think you're funny ?	tu penses etre drole ?
my class was canceled	mon cours a ete annule
she must be very happy	elle doit etre tres heureuse
he is a clever boy	c'est un garcon intelligent
i'm reformed	je me suis amendee
the woman is taking notes	la femme prend des notes
they climbed down the tree	elles descendirent de l'arbre
show me your hand	montrez moi votre main
pick a number	choisissez un nombre !
i missed you	tu m'as manque
we became good friends	nous sommes devenus bons amis
can anyone drive ?	quiconque sait il conduire ?
keep an eye on it	garde un il dessus
who's your boyfriend ?	qui est ton jules ?
that's not how	ce n'est pas comme ca
i know your type	je connais votre genre
what's the whole story ?	quelle est toute l'histoire ?
she talked to the chairman	elle a parle au president
christopher columbus discovered america	christophe colomb a decouvert l'amerique
we're bored	on s'emmerde
it's on my desk	il est sur mon bureau
i bought a new television	j'ai achete un nouveau televiseur
try some	essayez en !
i'm blessed	je suis beni
i like to grow flowers	j'aime faire pousser des fleurs
everyone cheered	tout le monde applaudit
i'll drive you somewhere	je te conduirai quelque part
that's not yours	ce n'est pas a toi
here's a photo of her	voici une photo d'elle
i wasn't hired	on ne m'a pas embauche
no one can do that	personne ne peut faire ca
i was stunned	j'etais scie
give me one good reason	fournissez moi une bonne raison
i was impolite	j'ai ete impoli
she approved of the wedding	elle approuva le mariage
it won't last long	ca ne durera pas longtemps
the teachers greeted the children	les institutrices saluerent les enfants
i do believe you	je vous crois vraiment
you're such a tattletale	quelle commere tu fais
it can be fatal	cela peut se reveler fatal
now i'm wide awake	maintenant je suis bien reveille
can you handle it ?	peux tu t'en occuper ?
i'd like a receipt please	je voudrais bien un recu
you're very talented	tu es tres talentueuse
anybody see you ?	quiconque t'a vu ?
you should eat more	tu devrais manger davantage
nobody does it better	personne ne le fait mieux
i found the test difficult	j'ai trouve ce test difficile
what's your shoe size ?	quelle pointure faites vous ?
he lives by himself	il vit seul
you have a good memory	tu as une bonne memoire
they're cousins	elles sont cousines
smoking harms your health	fumer deteriore ta sante
it was disappointing	c'etait decevant
go away !	degage !
i don't owe him anything	je ne lui dois rien
the ice melted	la glace a fondu
goodbye !	a la revoyure
tom's deaf	tom est sourd
they don't listen to me	ils ne m'ecoutent pas
she's in the hospital now	elle est actuellement a l'hopital
don't talk in the classroom	ne parle pas en classe
stop being so naive	arrete d'etre si naive
the room is too big	la chambre est trop grande
she speaks loudly	elle parle a haute voix
i never saw her again	je ne la revis jamais
i will sue you	je vous ferai un proces
he came from another country	il vint d'un autre pays
she reserved a room	elle a reserve une chambre
she suddenly fell silent	elle se tut soudain
you won't be interested	tu ne seras pas interessee
you look surprised	tu as l'air surpris
i like your necklace	j'aime votre collier
you disappointed me	vous m'avez decu
i have no privacy	je n'ai pas d'intimite
you've run out of time	votre temps est ecoule
i guess not	j'imagine que non
we're grateful	nous sommes reconnaissants
i must hurry	je dois me depecher
she was promoted	elle fut promue
she could die	il se pourrait qu'elle meure
i resent that	ca me deplait
i'll check your vision	je vais controler votre vue
i've got something to do	j'ai quelque chose a faire
you'll bounce back	vous vous en remettrez
he lost his memory	il a perdu la memoire
they have just arrived	ils viennent juste d'arriver
i've come to accept this	j'ai fini par accepter cela
tom is a little nervous	tom est un peu nerveux
hold your horses young man	minute papillon !
we've all seen it	nous l'avons toutes vue
have a nice flight	bon vol
he is good at singing	il chante bien
what's your speciality ?	quelle est votre specialite ?
don't follow me	ne me suis pas !
i suppose that's true	je suppose que c'est vrai
tom wants this room spotless	tom veut cette chambre impeccable
you look happy	tu as l'air heureux
i never bet	je ne parie jamais
is anyone looking ?	quiconque regarde t il ?
i was so disappointed	j'etais tellement decue
have you been smoking ?	as tu fume ?
i have plenty of money	je dispose de beaucoup d'argent
you should know better	tu devrais reflechir
you all right ?	tu vas bien ?
advance two steps	avance de deux pas
love is hard to define	l'amour est difficile a definir
don't fall off !	ne tombe pas !
we all have missed you	tu nous as toutes manque
i know what to do	je sais quoi faire
it doesn't belong to you	il ne vous appartient pas
i was aware of that	j'en etait conscient
get a hold of yourself	reprends toi !
what do you think ?	qu'en penses tu ?
you seem busy	vous semblez occupe
pick a number	choisis un nombre !
he lied to my face	il m'a menti effrontement
i don't have your strength	je n'ai pas votre force
have they spotted you ?	t'ont ils repere ?
they all entered	ils sont tous entres
tom is persuaded he's right	tom est sur d'avoir raison
you're correct	tu as raison
he traveled by boat	il voyagea par bateau
i'm catching on	je comprends
you are probably wrong	tu as probablement tort
it's not yet time	il n'est pas encore temps
i want something to eat	je veux manger un truc
turn the lights out now	eteins les lumieres maintenant !
what are our chances ?	quels sont nos chances ?
i work during the night	je travaille de nuit
she lives in this neighborhood	elle vit dans ce quartier
they're very busy	elles sont tres occupees
i like it	j'aime ca
i'm shy	je suis timide
you can depend on it	vous pouvez vous y fier
we wanted you	nous vous voulions
i loved that	j'adorais ca
i'll be present	je serai present
i'm losing weight	je maigris
you can go there	vous pouvez vous y rendre
i'm fed up with english	j'en ai assez de l'anglais
the event made him famous	l'incident l'a rendu celebre
it's complex	c'est complique
i want to enjoy it	je veux en profiter
he married a pretty girl	il epousa une jolie fille
they blocked it	ils l'ont bloquee
work slowly	travaillez lentement !
are you bald ?	etes vous chauves ?
today is thursday	nous sommes jeudi
it was worth every penny	ca en valait chaque centime
you almost died	vous etes presque mortes
everyone was screaming	tout le monde criait
be prepared	tenez vous pretes !
let me know	fais le moi savoir !
the girls giggled	les filles ont glousse
we're all here	nous sommes tous la
get serious	sois serieux
is this your car ?	est ce votre voiture ?
we're sorry	nous sommes desoles
he was elected president	il a ete elu president
i continued singing	je continuai a chanter
the food is terrible	la nourriture est degueulasse
you must respect your elders	on doit respecter ses aines
a man must be honest	un homme doit etre honnete
do i look presentable ?	ai je l'air presentable ?
i feel faint	je me sens mal
how about running ?	et si je courais ?
i'm starved	j'ai l'estomac dans les talons
change was in the air	un changement s'annoncait
it's a piece of cake	c'est du gateau
we're not free	nous ne sommes pas libres
this is very good	c'est tres bien
click here for more information	cliquez ici pour davantage d'information
i think you like me	je pense que vous m'appreciez
they loaded the truck	elles ont charge le camion
you should keep your promises	vous devriez tenir vos promesses
the students burned their textbooks	les etudiants brulerent leurs manuels
that's a great poem	c'est un grand poeme
everyone is looking at tom	tout le monde regarde tom
i am in paris	je suis a paris
we're turning back	nous retournons en arriere
here she comes	la voici
i'm laying you off	je te licencie
is it accessible ?	est ce accessible ?
i got sleepy	j'ai commence a avoir sommeil
i want to check something	je veux verifier quelque chose
you're very brave	tu es fort courageuse
we're sad	nous sommes tristes
this is new	c'est neuf
i understand this	je comprends ca
our dreams came true	nos reves se sont realises
i am a stranger here	je suis etranger ici
he studies chinese	il etudie le chinois
his name sounds familiar	son nom m'est familier
we felt the house shake	nous sentimes la maison trembler
this is what'll happen	c'est ce qui surviendra
turn around	faites demi tour
now i feel bad	desormais je me sens mal
the two brothers died	les deux freres sont morts
they found it	elles le trouverent
i have a backache	j'ai une douleur au dos
this isn't possible	ce n'est pas possible
i will sue you	je vous poursuivrai en justice
she looks like her aunt	elle ressemble a sa tante
i feel comfortable	je me sens a l'aise
tom taught me to sing	tom m'a appris a chanter
i like your shoes	j'aime tes souliers
he's eight years old	il a huit ans
no one knew it	personne ne le savait
neither is true	aucune des deux n'est vraie
pay what you want	payez ce que vous voulez
their daughter is a nurse	leur fille est infirmiere
she kept on working	elle a continue a travailler
i'd like to join you	j'aimerais te rejoindre
tom needs to be medicated	tom a besoin d'etre soigne
they're afraid of me	elles ont peur de moi
i don't care anymore	je ne m'en soucie plus
tom's drowning	tom se noie
drive on	continue a rouler !
are you studying ?	etudiez vous ?
i followed you	je vous ai suivie
you're tough	tu es dure
i'm resourceful	je suis pleine de ressources
he drinks too much alcohol	il boit trop d'alcool
we worked together	nous avons travaille ensemble
are you at work ?	etes vous au travail ?
it is getting dark outdoors	la lumiere tombe a l'exterieur
her beauty is incomparable	sa beaute est incomparable
i like it so much	je l'aime tant !
without you i would've died	sans vous je serais morte
preheat the oven to degrees	prechauffe le four a degres
nobody knows this	personne ne le sait
this car is very expensive	cette voiture est tres couteuse
come at ten o'clock sharp	viens a dix heures precises
i wasn't looking at you	je ne vous regardais pas
he's your son	c'est votre fils
that'll take a long time	ca prendra beaucoup de temps
where were you ?	ou etais tu ?
you must be in love	vous devez etre amoureuse
i like swimming	j'aime nager
you're not a teenager yet	vous n'etes pas encore adolescent
i understand you	je te comprends
that's very big	c'est tres gros
this road is terrible	cette route est redoutable
she woke up	elle se reveille
tom is in big trouble	tom est en grande difficulte
you really are hopeless	tu es vraiment desesperant
the picture is hung crooked	le tableau est de travers
we never lose	nous ne perdons jamais
meeting boys is hard	rencontrer des garcons est difficile
this changes everything	ca change tout
it's me !	c'est bibi !
you can't prove a thing	tu ne peux rien prouver
your book is here	ton livre est ici
close the door after you	fermez la porte derriere vous
it looked fresh	elle avait l'air fraiche
look in front of you	regarde devant toi !
i have some time	je dispose de temps
the weather remained rainy	le temps demeura pluvieux
tom's died	tom est mort
he has a hairy chest	il a le torse velu
i'm from romania	je viens de roumanie
we're all cowards	nous sommes tous des laches
we'll do more than that	nous ferons plus que cela
you look very tired	tu as l'air tres fatigue
i paid for them	j'ai paye pour eux
i live in boston	j'habite a boston
i'm a bit busy	je suis un peu occupe
my father is busy	mon pere est occupe
that's not funny	ce n'est pas marrant
you're upset	tu es contrariee
he's demented	il est fou
i lack imagination	je manque d'imagination
i like boston a lot	j'aime beaucoup boston
you can't hypnotize me	vous ne pouvez pas m'hypnotiser
let's quit talking about this	arretons de parler de ca
keep running	continuez a courir
i wish you luck	je te souhaite bonne chance
i like your cookies	j'apprecie vos biscuits
it belongs to me	ca m'appartient
they're all in there	ils sont tous la dedans
everyone is unique	tout le monde est unique
let's talk man to man	parlons d'homme a homme
tom reads slowly	tom lit lentement
it was just a coincidence	c'etait pure coincidence
mary is a formidable woman	marie est une femme formidable
i have questions	j'ai des questions
she has few friends	elle a peu d'amies
he's a bit jealous	il est un peu jaloux
isn't that childish ?	n'est ce pas pueril ?
do it this way	faites le de cette maniere
i don't have any pens	je n'ai aucun stylo
that's quite a story	c'est une sacree histoire
you're the teacher	c'est toi le professeur
he went shopping	il alla faire des courses
i was born here	je suis nee ici
i am better	je vais mieux
i have an ear infection	j'ai une infection a l'oreille
i left the room	j'ai quitte la piece
i cried all night long	j'ai pleure toute la nuit
turn it up	augmentez le
he twirled his mustache	il tournicota sa moustache
no one will talk	personne ne parlera
he heard a noise	il entendit un bruit
i love being alone	j'adore me trouver seule
are you envious ?	es tu jaloux ?
he's coming	il est en train d'arriver
that's more like it	ca y ressemble davantage
will he live ?	vivra t il ?
wait till six	attendez jusqu'a six heures
everyone is silent	tout le monde est silencieux
those houses are big	ces maisons sont grandes
pack your gear	emballez votre materiel !
tom shut his eyes	tom ferma les yeux
we did it	nous avons reussi !
i want you to die	je veux que tu meures
you're so bossy	vous etes tellement autoritaire !
i'm from tokyo japan	je viens de tokyo japon
columbus discovered america	christophe colomb a decouvert l'amerique
i have to run	il me faut courir
that's not true	ce n'est pas vrai
we're saved	nous sommes sauves
she became a doctor	elle est devenue toubib
i'm impatient	je suis impatiente
do you agree ?	tu es d'accord ?
go away	va te faire foutre !
i miss my friends	mes amis me manquent
it works well	ca fonctionne bien
you must stop him	tu dois l'arreter
i'm open to suggestions	je suis ouvert aux propositions
nobody will know	personne ne saura
you're beautiful	vous etes belles
you know me well	vous me connaissez bien
i'm sorry	je suis desolee
this is a beautiful house	c'est une belle maison
give me a little money	donnez moi un peu d'argent
you look younger	vous avez l'air plus jeune
you're not good at this	vous n'y etes pas bons
someone will do this job	quelqu'un fera ce travail
they're able students	ce sont des etudiants capables
he caught three fish	il prit trois poissons
it takes time	cela prend du temps
tom left a message	tom a laisse un message
tom hates his life	tom deteste sa vie
they're angry	ils sont en colere
no one likes me	personne ne m'apprecie
i just met him	je viens de le rencontrer
everybody's having a good time	tout le monde s'amuse
she tried	elle a essaye
i'm a salesperson	je suis un vendeur
everyone's watching	tout le monde regarde
i eat alone	je mange seule
somebody's going to notice you	quelqu'un va te remarquer
i'm addicted	j'ai une assuetude
he sprained his ankle	il s'est foule la cheville
tom isn't bothering me	tom ne me derange pas
this house will rent easily	cette maison se louera facilement
how thrilling !	comme c'est palpitant !
this storm will also pass	cette tempete la aussi passera
i have only just begun	j'ai juste commence
everything's going be all right	tout va bien se passer
are you ready now ?	es tu prete maintenant ?
i'd like to be alone	j'aimerais etre seul
i swim every day	je nage tous les jours
she defeated him	elle l'a battu
he looks suspicious	il a l'air mefiant
that's clear	c'est clair
you've been warned	on vous a prevenu
money is welcome everywhere	l'argent est bienvenu partout
don't use your real name	n'utilisez pas votre vrai nom
tom isn't conservative	tom n'est pas conservateur
we're still here	nous sommes encore ici
what are your conclusions ?	quelles sont tes conclusions ?
pack your gear	emballe ton materiel !
the girls are excited	les filles sont excitees
it's worth it	cela en vaut la peine
he is no gentleman	ce n'est pas un gentleman
how was the beach ?	comment etait la plage ?
this never gets old	ceci ne vieillit jamais
you're very rude	vous etes fort grossiere
it isn't impossible	ce n'est pas impossible
it was a huge project	c'etait un gros projet
tom teaches us french	tom nous apprend le francais
three people are still missing	trois personnes manquent encore
put the luggage somewhere	mets les bagages quelque part
i forget your phone number	j'oublie ton numero de telephone
oh please !	je t'en prie !
tom is a genius	tom est un genie
he's very talented	il est tres talentueux
they weren't invited	elles n'ont pas ete invitees
pray for all of us	prie pour nous tous !
one thing led to another	une chose entraina l'autre
you've been warned	on vous a prevenues
don't be long	ne sois pas long
i love coffee	j'adore le cafe
you are fabulous	tu es fabuleuse
you should go now	tu devrais partir maintenant
how did i do ?	comment ai je fait ?
i moved last month	j'ai demenage le mois dernier
i feel so bad	je me sens tellement mal
tell me about the incident	parle moi de l'incident !
you're still green	tu es encore un bleu
open the bottle	ouvrez la bouteille
i thought she was cute	je pensais qu'elle etait mignonne
i'll do it now	je vais le faire maintenant
i trust you	j'ai confiance en toi
we have dinner at seven	nous dinons a sept heures
it's the next logical step	c'est l'etape logique suivante
the town was deserted	la ville etait desertee
you lied to me	vous me mentites
we swam in the lake	nous nageames dans le lac
i got dizzy	j'ai ete pris de vertiges
how's your job ?	comment va ton boulot ?
i'm fat	je suis gras
i'll be going with you	j'irai avec toi
we have suppliers	nous disposons de fournisseurs
the clock is broken	l'horloge est cassee
he kept staring at me	il continua a me regarder
we know this is real	nous savons que c'est reel
we're getting tired	nous commencons a fatiguer
he is handsome and clever	il est beau et intelligent
wait !	attends !
we have no school tomorrow	on n'a pas cours demain
he is not available	il n'est pas disponible
stop resisting !	arrete de resister !
try some of this	essaie de ca !
it seems to be serious	ca a l'air serieux
the plants are growing	les plantes grandissent
he loves attention	il adore les prevenances
get to bed	au lit !
he turned a blind eye	il refusa de le voir
he found his master	il a trouve son maitre
i feel for you	je compatis avec toi
this won't be easy	ce ne sera pas facile
you look fat	vous avez l'air gros
they admired the lovely scenery	ils ont admire l'adorable paysage
